Frame,Total,Compliant,No Vest,Compliance %,Idle Clusters
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,4,1,3,25.0,0
5,6,1,5,16.67,0
6,6,1,5,16.67,0
7,6,1,5,16.67,0
8,6,1,5,16.67,0
9,6,1,5,16.67,0
10,7,1,6,14.29,0
11,7,1,6,14.29,0
12,8,2,6,25.0,0
